,0
1168,Sorare
1169,Turnitin
1170,Niche
1171,Deadspin
1172,Phantom Auto
1173,ShopBack
1174,Dell
1175,Synctera
1176,Identiq
1177,Lightspeed Commerce
1178,Ghost Autonomy
1179,Bolt.Earth
1180,EXL
1181,Singularity 6
1182,Trendsales
1183,Criteo
1184,McKinsey & Co
1185,Tesla
1186,Kwalee
1187,Take-Two
1188,Tome
1189,Data.ai
1190,Toshiba
1191,Good Glamm Group
1192,Stability AI
1193,The Good Glamour
1194,OutSystems
1195,Freenome
1196,Heureka Group
1197,True Anomaly
1198,HealthifyMe
1199,Ninja Van
1200,RiseUp
1201,Assurance
1202,Luminar
1203,Enovix
1204,Arkane Studios
1205,PrepLadder
1206,Sight Diagnostics
1207,Motional
1208,Replit
1209,Satellogic
1210,Foursquare
1211,Walnut
1212,ICANN
1213,Aleph Farms
1214,MoonPay
1215,Kissflow
1216,Paxos
1217,Care/of
1218,Moovit
1219,Rapyd
1220,Wex
1221,Intel
1222,Emma Sleep
1223,Ginkgo Bioworks
1224,Flutterwave
1225,Octopus Ventures
1226,RealPage
1227,Priceline
1228,Sightful
1229,UKG
1230,OpenText
1231,UIPath
1232,Redbox
1233,ON
1234,EverC
1235,Humble Games
1236,Cohere
1237,Moxion Power
1238,Bungie
1239,Axios Media
1240,Inuitive
1241,Five9
1242,Tome Biosciences
1243,Brave
1244,Character.ai
1245,ChargePoint
1246,Goop
1247,WeTransfer
1248,CarTrawler
1249,Northvolt
1250,Drata
1251,Eaze
1252,PubMatic
1253,BeepKart
1254,CareerBuilder + Monster
1255,Nikola
1256,Coursera
1257,F5
1258,Maven Clinic
1259,Atera
1260,Just Eat
1261,Personio
1262,Monarch Tractor
1263,Lyra Health
1264,AMD
1265,AlphaSense
1266,Circle
1267,Bluevine
1268,Foundry
1269,Lilium
1270,Altruist
1271,Pandion
1272,Placer.ai
1273,AppsFlyer
1274,Tabnine
1275,Hugging Face
1276,Blue Origin
1277,Logically
1278,SeatGeek
1279,Skybox Security
1280,Autodesk
1281,Digimarc
1282,Automattic
1283,LiveRamp
1284,Hewlett Packard Enterprise
1285,D-ID
1286,ActiveFence
1287,Otorio
1288,Acxiom
1289,NetApp
1290,SambaNova
1291,Smashing
1292,Beam
1293,Deep Instinct
1294,GenWise
1295,CrowdStrike
1296,Match Group
1297,Hims & Hers
1298,Climeworks
1299,LeddarTech
1300,Otipy
1301,Noogata
1302,Salto
1303,Klue
1304,Sabi
1305,Scale AI
1306,Syqe Medical
1307,Phase
1308,TCS
1309,Amdocs
1310,Zupee
1311,Snorkel AI
1312,AccelerEd
1313,Tia
1314,Ludeo
1315,Applied Materials
1316,Porter
1317,MyBambu
1318,Axonius
1319,Synopsys
1320,Pipe
1321,Mobileye
1322,Payoneer
1323,Tenstorrent
1324,SE Ranking
1325,Teads
1326,Sapiens
1327,Apple
